"filename", "language", "Dart", "comment", "blank", "total"
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\core\constant\constant.dart", "Dart", 12, 1, 5, 18
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\main.dart", "Dart", 27, 0, 3, 30
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\screens\base_screen\base_common_dashboard.dart", "Dart", 172, 3, 2, 177
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\screens\base_screen\base_input_background.dart", "Dart", 127, 4, 5, 136
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\screens\base_screen\base_upload_success.dart", "Dart", 72, 0, 2, 74
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\screens\chose_tipe_screen.dart", "Dart", 40, 0, 2, 42
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\screens\direktur\bottom_menu\base_bottom_menu.dart", "Dart", 64, 0, 3, 67
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\screens\direktur\bottom_menu\bottom_menu_screen.dart", "Dart", 125, 0, 6, 131
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\screens\direktur\bottom_menu\menu_item_long_grey_widget.dart", "Dart", 66, 0, 4, 70
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\screens\direktur\bottom_menu\menu_title_widget.dart", "Dart", 22, 0, 4, 26
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\screens\direktur\bottom_menu\staff\daftar_staff_tab.dart", "Dart", 59, 0, 2, 61
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\screens\direktur\bottom_menu\staff\wassidik\bag_wassidik.dart", "Dart", 122, 0, 8, 130
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\screens\direktur\bottom_menu\staff\wassidik\gelar_perkara.dart", "Dart", 16, 0, 2, 18
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\screens\direktur\bottom_menu\subdit\daftar_subdit_tab.dart", "Dart", 41, 0, 2, 43
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\screens\direktur\direktur_dashboard_screen.dart", "Dart", 224, 0, 5, 229
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\screens\home_screen.dart", "Dart", 77, 0, 3, 80
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\screens\kanit\bottom_sheet\kanit_statistik_penilaian_bottom_sheet.dart", "Dart", 200, 0, 8, 208
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\screens\kanit\kanit_dashboard_screen.dart", "Dart", 0, 0, 1, 1
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\screens\kanit\kanit_upload_kasus_screen.dart", "Dart", 134, 0, 7, 141
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\screens\kanit\kanit_upload_lp_screen.dart", "Dart", 44, 0, 2, 46
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\screens\kasubdit\dashboard\kasubdit_dashboard_screen.dart", "Dart", 202, 0, 5, 207
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\screens\login_screen.dart", "Dart", 110, 0, 2, 112
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\screens\register_screen.dart", "Dart", 123, 2, 2, 127
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\screens\register_success_screen.dart", "Dart", 47, 0, 6, 53
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\screens\spri\spri_input_kegiatan_direktur_screen.dart", "Dart", 54, 0, 2, 56
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\widgets\dashboard\button_with_arrow_widget.dart", "Dart", 46, 0, 3, 49
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\widgets\dashboard\dashboard_history_item_widget.dart", "Dart", 41, 0, 4, 45
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\widgets\grafik\anggota_item_widget.dart", "Dart", 64, 0, 3, 67
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\widgets\grafik\dashboard_menu_item_widget.dart", "Dart", 48, 0, 4, 52
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\widgets\grafik\grafik_widget.dart", "Dart", 38, 0, 3, 41
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\widgets\grafik\indicator_widget.dart", "Dart", 46, 0, 4, 50
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\widgets\grafik\statistik_item_widget.dart", "Dart", 57, 0, 3, 60
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\widgets\grafik\statistik_penilaian_widget.dart", "Dart", 107, 0, 3, 110
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\widgets\half_color_button.dart", "Dart", 44, 0, 4, 48
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\widgets\input\text_and_input_widget.dart", "Dart", 65, 0, 4, 69
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\widgets\logo_bareskim.dart", "Dart", 11, 0, 2, 13
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\widgets\primary_button.dart", "Dart", 50, 0, 4, 54
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\widgets\rounded_text_field.dart", "Dart", 31, 0, 3, 34
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\widgets\scaffold_three_color_container.dart", "Dart", 67, 3, 3, 73
"c:\Extra Data\Projects\Flutter\power_on_hand\lib\ui\widgets\text_field_widget.dart", "Dart", 104, 0, 4, 108
"Total", "-", 2999, 13, 144, 3156